IDpol,ClaimNb,SeverityRowCount,_merge,CountDifference
1,1,0,left_only,1
3,1,0,left_only,1
5,1,0,left_only,1
10,1,0,left_only,1
11,1,0,left_only,1
13,1,0,left_only,1
15,1,0,left_only,1
17,1,0,left_only,1
18,1,0,left_only,1
21,1,0,left_only,1
25,1,0,left_only,1
27,1,0,left_only,1
30,1,0,left_only,1
32,1,0,left_only,1
35,1,0,left_only,1
36,1,0,left_only,1
38,1,0,left_only,1
42,1,0,left_only,1
44,1,0,left_only,1
45,1,0,left_only,1
47,1,0,left_only,1
49,2,0,left_only,2
50,1,0,left_only,1
52,1,0,left_only,1
53,1,0,left_only,1
54,1,0,left_only,1
55,1,0,left_only,1
58,1,0,left_only,1
59,1,0,left_only,1
60,2,0,left_only,2
62,1,0,left_only,1
65,1,0,left_only,1
67,1,0,left_only,1
68,1,0,left_only,1
72,1,0,left_only,1
73,1,0,left_only,1
77,1,0,left_only,1
78,1,0,left_only,1
80,1,0,left_only,1
82,1,0,left_only,1
84,1,0,left_only,1
86,1,0,left_only,1
88,1,0,left_only,1
90,1,0,left_only,1
92,1,0,left_only,1
94,1,0,left_only,1
96,1,0,left_only,1
97,1,0,left_only,1
100,1,0,left_only,1
102,2,0,left_only,2
104,1,0,left_only,1
107,1,0,left_only,1
108,1,0,left_only,1
109,1,0,left_only,1
112,1,0,left_only,1
113,1,0,left_only,1
115,1,0,left_only,1
117,1,0,left_only,1
120,1,0,left_only,1
121,1,0,left_only,1
122,1,0,left_only,1
124,1,0,left_only,1
127,1,0,left_only,1
129,1,0,left_only,1
133,1,0,left_only,1
137,1,0,left_only,1
142,1,0,left_only,1
145,1,0,left_only,1
147,1,0,left_only,1
148,1,0,left_only,1
149,1,0,left_only,1
150,1,0,left_only,1
151,2,0,left_only,2
153,1,0,left_only,1
155,1,0,left_only,1
158,1,0,left_only,1
159,1,0,left_only,1
161,1,0,left_only,1
163,1,0,left_only,1
166,1,0,left_only,1
167,1,0,left_only,1
170,1,0,left_only,1
173,1,0,left_only,1
175,1,0,left_only,1
178,1,0,left_only,1
179,1,0,left_only,1
181,1,0,left_only,1
183,1,0,left_only,1
184,1,0,left_only,1
186,1,0,left_only,1
188,1,0,left_only,1
189,1,0,left_only,1
193,1,0,left_only,1
194,1,0,left_only,1
195,1,0,left_only,1
196,1,0,left_only,1
197,1,0,left_only,1
198,1,0,left_only,1
200,1,0,left_only,1
202,2,0,left_only,2
205,1,0,left_only,1
206,1,0,left_only,1
209,1,0,left_only,1
210,1,0,left_only,1
211,1,0,left_only,1
212,1,0,left_only,1
213,1,0,left_only,1
215,1,0,left_only,1
217,1,0,left_only,1
219,1,0,left_only,1
220,1,0,left_only,1
222,1,0,left_only,1
223,1,0,left_only,1
225,1,0,left_only,1
227,1,0,left_only,1
229,1,0,left_only,1
230,1,0,left_only,1
233,1,0,left_only,1
234,1,0,left_only,1
237,1,0,left_only,1
238,1,0,left_only,1
241,1,0,left_only,1
246,1,0,left_only,1
247,1,0,left_only,1
250,1,0,left_only,1
256,1,0,left_only,1
259,1,0,left_only,1
261,1,0,left_only,1
264,1,0,left_only,1
266,1,0,left_only,1
268,1,0,left_only,1
271,1,0,left_only,1
272,1,0,left_only,1
274,1,0,left_only,1
275,1,0,left_only,1
277,1,0,left_only,1
278,1,0,left_only,1
280,1,0,left_only,1
282,1,0,left_only,1
285,1,0,left_only,1
286,1,0,left_only,1
289,1,0,left_only,1
291,1,0,left_only,1
292,1,0,left_only,1
293,1,0,left_only,1
295,1,0,left_only,1
296,1,0,left_only,1
299,1,0,left_only,1
300,1,0,left_only,1
303,1,0,left_only,1
304,2,0,left_only,2
306,1,0,left_only,1
307,1,0,left_only,1
311,1,0,left_only,1
312,1,0,left_only,1
316,1,0,left_only,1
319,1,0,left_only,1
320,1,0,left_only,1
322,1,0,left_only,1
325,1,0,left_only,1
328,1,0,left_only,1
329,1,0,left_only,1
332,1,0,left_only,1
335,1,0,left_only,1
337,1,0,left_only,1
339,1,0,left_only,1
340,1,0,left_only,1
345,1,0,left_only,1
346,1,0,left_only,1
349,1,0,left_only,1
352,1,0,left_only,1
354,1,0,left_only,1
355,1,0,left_only,1
359,1,0,left_only,1
361,1,0,left_only,1
364,1,0,left_only,1
365,1,0,left_only,1
367,1,0,left_only,1
369,1,0,left_only,1
371,1,0,left_only,1
372,1,0,left_only,1
374,1,0,left_only,1
376,1,0,left_only,1
379,1,0,left_only,1
382,1,0,left_only,1
383,1,0,left_only,1
386,1,0,left_only,1
387,1,0,left_only,1
391,1,0,left_only,1
394,1,0,left_only,1
397,2,0,left_only,2
400,1,0,left_only,1
402,1,0,left_only,1
403,1,0,left_only,1
406,1,0,left_only,1
407,1,0,left_only,1
412,1,0,left_only,1
416,1,0,left_only,1
417,1,0,left_only,1
418,1,0,left_only,1
420,1,0,left_only,1
422,1,0,left_only,1
425,1,0,left_only,1
427,1,0,left_only,1
434,1,0,left_only,1
436,1,0,left_only,1
438,1,0,left_only,1
439,1,0,left_only,1
442,1,0,left_only,1
443,1,0,left_only,1
444,1,0,left_only,1
447,1,0,left_only,1
448,1,0,left_only,1
449,1,0,left_only,1
451,1,0,left_only,1
454,1,0,left_only,1
456,1,0,left_only,1
459,1,0,left_only,1
462,1,0,left_only,1
465,1,0,left_only,1
466,1,0,left_only,1
468,1,0,left_only,1
470,1,0,left_only,1
473,1,0,left_only,1
477,1,0,left_only,1
478,1,0,left_only,1
480,1,0,left_only,1
482,1,0,left_only,1
484,1,0,left_only,1
486,1,0,left_only,1
487,1,0,left_only,1
490,1,0,left_only,1
491,1,0,left_only,1
493,1,0,left_only,1
495,1,0,left_only,1
496,1,0,left_only,1
501,1,0,left_only,1
504,1,0,left_only,1
505,1,0,left_only,1
507,1,0,left_only,1
510,1,0,left_only,1
512,1,0,left_only,1
514,1,0,left_only,1
517,1,0,left_only,1
519,1,0,left_only,1
521,1,0,left_only,1
527,1,0,left_only,1
530,1,0,left_only,1
532,1,0,left_only,1
536,1,0,left_only,1
539,1,0,left_only,1
542,1,0,left_only,1
545,1,0,left_only,1
546,1,0,left_only,1
548,1,0,left_only,1
550,1,0,left_only,1
551,1,0,left_only,1
554,1,0,left_only,1
555,1,0,left_only,1
558,1,0,left_only,1
561,1,0,left_only,1
563,1,0,left_only,1
565,1,0,left_only,1
567,1,0,left_only,1
569,1,0,left_only,1
571,1,0,left_only,1
573,1,0,left_only,1
574,1,0,left_only,1
577,1,0,left_only,1
578,1,0,left_only,1
581,1,0,left_only,1
582,1,0,left_only,1
584,1,0,left_only,1
588,1,0,left_only,1
590,1,0,left_only,1
592,2,0,left_only,2
594,1,0,left_only,1
596,1,0,left_only,1
598,1,0,left_only,1
599,1,0,left_only,1
602,1,0,left_only,1
603,1,0,left_only,1
608,1,0,left_only,1
609,1,0,left_only,1
613,1,0,left_only,1
614,1,0,left_only,1
617,1,0,left_only,1
618,1,0,left_only,1
620,2,0,left_only,2
624,1,0,left_only,1
626,1,0,left_only,1
630,2,0,left_only,2
631,1,0,left_only,1
634,1,0,left_only,1
635,1,0,left_only,1
636,1,0,left_only,1
637,1,0,left_only,1
638,1,0,left_only,1
640,1,0,left_only,1
642,1,0,left_only,1
644,1,0,left_only,1
646,1,0,left_only,1
647,1,0,left_only,1
648,1,0,left_only,1
651,1,0,left_only,1
653,1,0,left_only,1
654,1,0,left_only,1
657,1,0,left_only,1
659,1,0,left_only,1
661,1,0,left_only,1
662,1,0,left_only,1
666,1,0,left_only,1
668,1,0,left_only,1
670,1,0,left_only,1
671,1,0,left_only,1
676,1,0,left_only,1
677,1,0,left_only,1
679,1,0,left_only,1
680,1,0,left_only,1
681,1,0,left_only,1
685,1,0,left_only,1
687,1,0,left_only,1
688,1,0,left_only,1
692,1,0,left_only,1
694,1,0,left_only,1
696,1,0,left_only,1
698,1,0,left_only,1
700,1,0,left_only,1
702,1,0,left_only,1
704,1,0,left_only,1
706,1,0,left_only,1
708,1,0,left_only,1
709,1,0,left_only,1
711,1,0,left_only,1
714,1,0,left_only,1
715,1,0,left_only,1
717,1,0,left_only,1
719,1,0,left_only,1
722,1,0,left_only,1
723,1,0,left_only,1
724,1,0,left_only,1
726,1,0,left_only,1
730,1,0,left_only,1
731,1,0,left_only,1
732,2,0,left_only,2
734,1,0,left_only,1
738,1,0,left_only,1
739,1,0,left_only,1
742,1,0,left_only,1
745,1,0,left_only,1
746,1,0,left_only,1
748,1,0,left_only,1
750,1,0,left_only,1
754,1,0,left_only,1
755,1,0,left_only,1
756,1,0,left_only,1
758,1,0,left_only,1
759,1,0,left_only,1
762,1,0,left_only,1
765,1,0,left_only,1
768,1,0,left_only,1
769,1,0,left_only,1
771,1,0,left_only,1
772,1,0,left_only,1
773,1,0,left_only,1
776,1,0,left_only,1
778,2,0,left_only,2
780,1,0,left_only,1
782,1,0,left_only,1
784,1,0,left_only,1
785,1,0,left_only,1
789,1,0,left_only,1
790,1,0,left_only,1
793,1,0,left_only,1
795,1,0,left_only,1
798,1,0,left_only,1
799,1,0,left_only,1
802,1,0,left_only,1
805,1,0,left_only,1
807,1,0,left_only,1
809,1,0,left_only,1
813,1,0,left_only,1
816,1,0,left_only,1
818,1,0,left_only,1
820,1,0,left_only,1
822,1,0,left_only,1
827,1,0,left_only,1
829,1,0,left_only,1
833,1,0,left_only,1
834,1,0,left_only,1
837,1,0,left_only,1
838,1,0,left_only,1
841,1,0,left_only,1
842,1,0,left_only,1
845,1,0,left_only,1
849,1,0,left_only,1
850,1,0,left_only,1
852,1,0,left_only,1
853,1,0,left_only,1
854,1,0,left_only,1
856,1,0,left_only,1
859,1,0,left_only,1
861,1,0,left_only,1
863,1,0,left_only,1
865,1,0,left_only,1
867,1,0,left_only,1
870,1,0,left_only,1
872,1,0,left_only,1
874,1,0,left_only,1
876,1,0,left_only,1
878,1,0,left_only,1
880,1,0,left_only,1
882,1,0,left_only,1
884,1,0,left_only,1
886,1,0,left_only,1
887,1,0,left_only,1
889,1,0,left_only,1
890,1,0,left_only,1
892,1,0,left_only,1
895,1,0,left_only,1
896,1,0,left_only,1
901,1,0,left_only,1
902,1,0,left_only,1
905,1,0,left_only,1
908,1,0,left_only,1
910,1,0,left_only,1
911,1,0,left_only,1
912,1,0,left_only,1
913,2,0,left_only,2
915,1,0,left_only,1
918,1,0,left_only,1
920,1,0,left_only,1
921,1,0,left_only,1
925,1,0,left_only,1
926,1,0,left_only,1
928,1,0,left_only,1
931,1,0,left_only,1
932,1,0,left_only,1
933,1,0,left_only,1
937,1,0,left_only,1
939,1,0,left_only,1
940,1,0,left_only,1
941,1,0,left_only,1
943,1,0,left_only,1
944,1,0,left_only,1
947,1,0,left_only,1
948,1,0,left_only,1
951,1,0,left_only,1
953,1,0,left_only,1
954,1,0,left_only,1
956,1,0,left_only,1
959,1,0,left_only,1
961,1,0,left_only,1
963,1,0,left_only,1
965,1,0,left_only,1
968,1,0,left_only,1
969,1,0,left_only,1
971,1,0,left_only,1
972,1,0,left_only,1
976,2,0,left_only,2
979,1,0,left_only,1
980,1,0,left_only,1
982,1,0,left_only,1
984,1,0,left_only,1
987,1,0,left_only,1
990,1,0,left_only,1
