Measure,Value
Frequency rows,678013.0
Frequency columns,12.0
Severity rows,26639.0
Severity columns,2.0
Unique frequency policy IDs,678013.0
Unique severity policy IDs,24950.0
Frequency duplicate rows,0.0
Severity duplicate rows,255.0
Duplicate policy IDs in frequency,0.0
Missing values in frequency,0.0
Missing values in severity,0.0
Policies with claims,34060.0
Policies without claims,643953.0
Observed policy claim rate,0.05023502499214617
Claims reported in frequency table,36102.0
Claim rows in severity table,26639.0
Policies with claim-count mismatches,9123.0
Severity policy IDs missing from frequency,6.0
