SegmentType,Segment,Policies,Exposure,Claims,PoliciesWithClaim,CompleteLossPolicies,CompleteLossExposure,CompleteClaimCost,CompletePositivePolicies,CompletePositiveClaims,CompletePositiveClaimCost,ClaimOccurrenceRate,ClaimFrequency,ClaimsPer100ExposureYears,AverageClaimSeverity,PurePremium,CompleteLossPercentage
Area,A,103957,61969.37771240362,5063,4831,102363,60971.16394191182,7739630.67,3237,3364,7739630.67,0.04647113710476447,0.08170164340679839,8.17016434067984,2300.7225535077287,126.93919829665163,98.46667372086536
Area,B,75459,43012.32393068344,3800,3630,74353,42376.28016019163,8873979.52,2524,2633,8873979.52,0.04810559376615115,0.08834677256973826,8.834677256973826,3370.2922597797187,209.40911959365974,98.53430339654648
Area,C,191880,104449.00378471443,9875,9356,189254,103009.52531476907,14612072.43,6730,7093,14612072.43,0.04875964144256827,0.09454374519793318,9.454374519793319,2060.0694247849992,141.85166260449685,98.63143631436314
Area,D,151596,77120.1916917434,8428,7892,149746,76296.52234748109,14485957.83,6042,6457,14485957.83,0.052059421092904824,0.10928396072571372,10.928396072571372,2243.450182747406,189.86393329994613,98.77965117813135
Area,E,137167,63819.31426978067,7805,7296,135568,63223.89765775881,13017426.3,5697,6122,13017426.3,0.053190636231746705,0.12229839961937315,12.229839961937316,2126.3355602744205,205.8940809132875,98.83426771745391
Area,F,17954,8129.234073658208,1131,1055,17612,8015.778609177333,1179606.42,713,774,1179606.42,0.058761278823660466,0.13912749832913135,13.912749832913136,1524.0393023255813,147.1605538917278,98.09513200401024
VehGas,'Diesel',332136,170660.89312673104,16648,15709,329127,169012.61826334306,27594673.95,12700,13450,27594673.95,0.04729689043042609,0.09755017505760599,9.755017505760598,2051.648620817844,163.26990394885195,99.0940458125587
VehGas,'Regular',345877,187838.5523362527,19454,18351,339769,184880.5497679467,32313999.22,12243,12993,32313999.22,0.05305643335636657,0.10356766360281085,10.356766360281085,2487.0314184560916,174.78311948206016,98.23405430254107
Region,R11,69791,30208.64195448761,3978,3713,68470,29789.93632607231,4562678.53,2392,2590,4562678.53,0.05320170222521529,0.13168417189999013,13.168417189999012,1761.6519420849422,153.16174160488956,98.10720580017481
Region,R21,3026,1205.831509094992,160,149,2947,1183.8651156523692,481248.34,70,77,481248.34,0.04923992068737607,0.13268852140054307,13.268852140054307,6249.978441558442,406.5060568448357,97.38929279576999
Region,R22,7994,3574.410220824912,439,421,7875,3540.403827382289,687624.87,302,314,687624.87,0.05266449837378034,0.12281746438680628,12.281746438680628,2189.8881210191084,194.22215756342618,98.51138353765324
Region,R23,8784,3177.6821813009956,303,284,8709,3153.1021813009957,327493.58,209,220,327493.58,0.03233151183970856,0.09535251882110715,9.535251882110716,1488.607181818182,103.86392865481876,99.14617486338798
Region,R24,160601,102712.90338573247,9204,8808,158055,100769.99600868329,19074802.36,6262,6475,19074802.36,0.05484399225409555,0.08960899455285477,8.960899455285478,2945.915422393822,189.29049434869816,98.41470476522562
Region,R25,10893,6657.901142301071,633,605,10717,6546.237481098885,929847.31,429,452,929847.31,0.05554025520976774,0.09507500734401497,9.507500734401496,2057.184314159292,142.04301519533493,98.38428348480676
Region,R26,10492,5025.358609177334,511,488,10332,4961.580412456022,636298.04,328,345,636298.04,0.046511627906976744,0.10168428558845719,10.168428558845719,1844.3421449275363,128.24503224871194,98.47502859321388
Region,R31,27285,11497.974269032113,1176,1092,27065,11429.02787558949,1634689.72,872,944,1634689.72,0.040021990104452995,0.10227888604407134,10.227888604407134,1731.6628389830507,143.02963802297012,99.19369617005681
Region,R41,12990,8113.777972153604,611,589,12853,8070.917972153605,1034301.3,452,468,1034301.3,0.045342571208622014,0.07530400783666316,7.530400783666316,2210.045512820513,128.15163077713848,98.94534257120861
Region,R42,2200,1209.1158230406468,133,124,2159,1193.7558230406466,121424.99,83,92,121424.99,0.056363636363636366,0.10999773343924633,10.999773343924634,1319.836847826087,101.7167729416517,98.13636363636363
Region,R43,1326,564.012946328318,57,54,1308,558.0247496070065,76534.11,36,38,76534.11,0.04072398190045249,0.10106150997253827,10.106150997253827,2014.0555263157894,137.15181997554728,98.64253393665159
Region,R52,38751,21934.031164757842,2010,1909,38340,21722.947448910847,2570964.93,1498,1576,2570964.93,0.04926324481948853,0.09163842181593759,9.16384218159376,1631.3229251269036,118.35249042730176,98.93938220949137
Region,R53,42122,27753.463674676248,2702,2575,41340,27181.90449434838,3901051.25,1793,1871,3901051.25,0.06113195004985518,0.09735721752328341,9.735721752328342,2085.0086851950828,143.5164798997473,98.1434879635345
