Model,RiskDecile,Policies,Exposure,ObservedClaims,PredictedClaims,MinimumPredictedFrequency,MaximumPredictedFrequency,MeanPredictedFrequency,ObservedFrequency,PredictedFrequency,ObservedToExpectedRatio
Histogram gradient boosting,1,13561,8415.945941312972,326,335.0407912462172,0.011313918161745653,0.04795172061637689,0.039987494100011414,0.038735990258647116,0.03981023566246286,0.9730158491669354
Histogram gradient boosting,2,13560,8032.998547046935,442,425.29568652272195,0.04795336754013293,0.05748309954007705,0.052970296124774316,0.05502303995342893,0.05294357817095184,1.0392769407417575
Histogram gradient boosting,3,13560,7587.327403997305,445,468.7597215882426,0.05748310624220228,0.06616794809039585,0.061817035089339646,0.05865042805000827,0.061781928817422775,0.9493136451490747
Histogram gradient boosting,4,13560,7358.463926940639,495,517.3647991517091,0.06616919182396615,0.07429449155413541,0.07030366494396664,0.06726947429717191,0.07030880415918668,0.9567717030838215
Histogram gradient boosting,5,13561,7698.003501010555,618,601.9507381143502,0.07429450413013163,0.08183555398944506,0.07813899678560102,0.08028055585047111,0.07819569555084369,1.026662085232963
Histogram gradient boosting,6,13560,8046.739254435212,703,688.1795983043886,0.08183555398944506,0.08979453412664638,0.08554606157524809,0.08736458057995598,0.08552279085283854,1.0215356597785339
Histogram gradient boosting,7,13560,7405.959553110263,667,708.6362771923876,0.0897997943964917,0.10297305235693542,0.0957995857338434,0.09006260366624358,0.09568459996446825,0.9412445022468363
Histogram gradient boosting,8,13560,6172.918409312074,756,708.1426009704786,0.10297568925056125,0.13064087241679387,0.11500094435242841,0.12247043454511666,0.11471763500101013,1.0675815845056278
Histogram gradient boosting,9,13560,5925.6582700800955,843,928.4116891001853,0.13064087241679387,0.19573523395803527,0.1565886642501177,0.1422626755674531,0.15667654913344103,0.9080023548788295
Histogram gradient boosting,10,13561,4952.217150984355,1914,1842.6810047115907,0.1957470176115478,9.566810835641148,0.40122366154261596,0.3864935526140152,0.3720921253110478,1.0387039292780749
