Model,SegmentType,Segment,Policies,Exposure,ObservedClaims,PredictedClaims,ObservedFrequency,PredictedFrequency,ObservedToExpectedRatio,EligibleForComparison
Histogram gradient boosting,Area,A,20772,12382.159233475559,993,994.4157126581171,0.08019602892162726,0.08031036379904426,0.9985763371997283,True
Histogram gradient boosting,Area,B,15200,8652.80472340744,783,739.9342467264844,0.09049088995176788,0.08551380394900455,1.058202135478985,True
Histogram gradient boosting,Area,C,38320,20886.27405644135,2045,1965.545337196891,0.09791119251206606,0.0941070356486448,1.0404237242964953,True
Histogram gradient boosting,Area,D,30317,15406.00296878509,1609,1728.3808246597125,0.10443980851231038,0.11218878953623958,0.9309290967844333,True
Histogram gradient boosting,Area,E,27355,12630.574520547945,1533,1568.0440151790476,0.12137215116430783,0.1241466896559684,0.9776511278766329,True
Histogram gradient boosting,Area,F,3639,1638.416455573022,246,228.14277048201947,0.15014497636619722,0.13924589789488442,1.0782721691344934,True
Histogram gradient boosting,VehGas,'Diesel',66553,34238.89705067745,3293,3330.5023554652735,0.0961771635086839,0.097272477864452,0.9887397300879451,True
Histogram gradient boosting,VehGas,'Regular',69050,37357.33490755296,3916,3893.9605514369987,0.10482546492384437,0.1042355018384813,1.0056599054540674,True
Histogram gradient boosting,DrivAgeBand,Under 21,1335,503.7092701549517,135,121.2682949756337,0.26801174407306644,0.24075057212730863,1.1132340899748396,True
Histogram gradient boosting,DrivAgeBand,21-24,4637,1937.7450452878209,343,333.24322372123976,0.17700987074336855,0.17197475206122478,1.0292782435897987,True
Histogram gradient boosting,DrivAgeBand,25-29,11799,5170.355552810839,603,586.0237996358788,0.11662640873356997,0.11334303678927647,1.0289684486784823,True
Histogram gradient boosting,DrivAgeBand,30-39,33695,16403.10009880979,1443,1475.8958884739247,0.08797117565018725,0.08997664341394927,0.9777112405212138,True
Histogram gradient boosting,DrivAgeBand,40-49,33023,17519.69114304963,1772,1810.5662226023803,0.10114333554921051,0.10334464276904014,0.9786993581781571,True
Histogram gradient boosting,DrivAgeBand,50-59,28682,16050.575143349053,1565,1593.6091802487088,0.09750429414664906,0.09928673371614721,0.9820475555717847,True
Histogram gradient boosting,DrivAgeBand,60-69,13556,8003.466612021858,739,744.6847418490582,0.09233498880222252,0.09304527374806326,0.9923662436873045,True
Histogram gradient boosting,DrivAgeBand,70-79,7335,4855.28338947526,486,458.4315937649776,0.10009714387701785,0.09441912180836123,1.0601363575503389,True
Histogram gradient boosting,DrivAgeBand,80+,1541,1152.305703271203,123,100.73996163047006,0.10674250734924214,0.08742468369677091,1.220965325073115,True
Histogram gradient boosting,BonusMalusBand,Below 60,92268,52963.50789056067,4334,4356.8115500122585,0.08182992729551472,0.08226063045172172,0.9947641641713435,True
Histogram gradient boosting,BonusMalusBand,60-69,14566,6788.300663971854,844,901.5550698832328,0.12433155833527462,0.13281012649721533,0.9361602282479681,True
Histogram gradient boosting,BonusMalusBand,70-79,8940,3901.8656576091025,550,487.29051042631886,0.14095821031855224,0.12488654228165041,1.1286901514228507,True
Histogram gradient boosting,BonusMalusBand,80-89,7396,3069.240577139007,411,425.44657704032306,0.13390934652086273,0.1386162362798237,0.9660437342313983,True
Histogram gradient boosting,BonusMalusBand,90-99,6911,2889.833331836215,450,434.03488135066914,0.1557183229366614,0.15019374182208672,1.0367830313537225,True
Histogram gradient boosting,BonusMalusBand,100-109,4338,1445.192509918407,406,410.9205837765853,0.28093143108174706,0.28433622576675627,0.988025462897569,True
Histogram gradient boosting,BonusMalusBand,110-129,1030,465.4539973051875,175,177.05579492269834,0.37597700527482314,0.3803937573805106,0.9883889995038238,False
Histogram gradient boosting,BonusMalusBand,130-149,112,54.499133168650346,27,21.74859260245696,0.49542072378375496,0.3990630921624906,1.2414596426322217,False
Histogram gradient boosting,BonusMalusBand,150+,42,18.338196721311476,12,9.599346887728975,0.6543718655855824,0.5234618776105303,1.2500850464462143,False
