Feature,Coefficient,OddsRatio,AbsoluteCoefficient
numeric__LogExposure,0.43804048151690755,1.5496676390464956,0.43804048151690755
categorical__Region_R23,-0.3318509685309602,0.7175942590124141,0.3318509685309602
numeric__BonusMalus,0.3193288032227895,1.3762037507508873,0.3193288032227895
categorical__Region_R74,0.2739299160624714,1.3151226300366208,0.2739299160624714
categorical__Region_R53,0.26464214812630443,1.3029646240088577,0.26464214812630443
categorical__Region_R83,-0.2533024883613861,0.776233044846013,0.2533024883613861
numeric__VehAge,-0.21450873430873144,0.8069377636575658,0.21450873430873144
categorical__Region_R24,0.19866146434999296,1.2197689607173532,0.19866146434999296
categorical__Region_R82,0.18657905635942462,1.2051198907110812,0.18657905635942462
categorical__Region_R73,-0.17276548117443435,0.8413349005829013,0.17276548117443435
categorical__Region_R21,0.15950135446609767,1.1729258509079523,0.15950135446609767
categorical__Region_R22,0.15839532252309177,1.171629274609648,0.15839532252309177
numeric__DrivAge,0.14179293837068302,1.1523380188446253,0.14179293837068302
categorical__Region_R91,-0.13731547525338475,0.8716951844907733,0.13731547525338475
categorical__Region_R25,0.13724153444703868,1.147105180478133,0.13724153444703868
categorical__Region_R52,0.11180783277106288,1.1182979397791195,0.11180783277106288
categorical__Region_R72,-0.10799223661993788,0.8976345650816703,0.10799223661993788
categorical__Region_R43,-0.10416481210423202,0.901076776822882,0.10416481210423202
categorical__Region_R31,-0.08715524407164577,0.91653479799416,0.08715524407164577
categorical__VehGas_'Regular',0.08080180085294295,1.084155996477178,0.08080180085294295
categorical__VehBrand_B5,0.07816683105241108,1.0813030385470785,0.07816683105241108
categorical__Region_R26,0.07673077800208052,1.0797513444444309,0.07673077800208052
categorical__Region_R42,0.07535580953786208,1.0782677405846166,0.07535580953786208
numeric__LogDensity,0.06536627858775836,1.0675499734783278,0.06536627858775836
categorical__Region_R41,-0.06301516142824531,0.9389292380729469,0.06301516142824531
categorical__Region_R54,0.06244416531216368,1.0644350248612986,0.06244416531216368
categorical__VehBrand_B6,-0.05804561021379254,0.9436069083424692,0.05804561021379254
categorical__VehBrand_B14,-0.05589633210936704,0.94563716301917,0.05589633210936704
categorical__VehBrand_B11,0.053357876868255126,1.0548070686300903,0.053357876868255126
categorical__Region_R94,0.04963295231516068,1.0508853005610224,0.04963295231516068
categorical__Area_B,0.04780891538286061,1.0489701941046217,0.04780891538286061
categorical__VehBrand_B10,-0.04230070525881597,0.9585814867348557,0.04230070525881597
categorical__Area_F,-0.03098502056214302,0.9694900953838944,0.03098502056214302
categorical__Area_D,0.02430637186007655,1.0246041796973298,0.02430637186007655
categorical__VehBrand_B3,-0.02423056220966165,0.9760606411145654,0.02423056220966165
numeric__VehPower,0.022644995088727075,1.0229033393728744,0.022644995088727075
categorical__VehBrand_B4,-0.02176193191814455,0.9784731505513357,0.02176193191814455
categorical__VehBrand_B2,-0.019599846790093217,0.9805909814386697,0.019599846790093217
categorical__Region_R93,-0.013495951309884754,0.9865947107258997,0.013495951309884754
categorical__VehBrand_B13,0.012855982424223684,1.01293897583888,0.012855982424223684
categorical__VehBrand_B12,-0.007672300169693341,0.9923570567987847,0.007672300169693341
categorical__Area_E,0.0028650616027820347,1.0028691698142653,0.0028650616027820347
categorical__Area_C,-0.0017354961550948495,0.9982660089475315,0.0017354961550948495
