Model,Capacity,SelectedPolicies,SelectedClaims,PrecisionAtCapacity,ClaimCaptureRate,Lift,ThresholdAtCapacity
Logistic regression,0.05,6781,861,0.12697242294646807,0.12639459776864356,2.5275750835011612,0.09196037112537325
Logistic regression,0.1,13561,1426,0.1051544871322174,0.2093364650616559,2.0932565940384724,0.07957772065872255
Logistic regression,0.2,27121,2428,0.08952472253972936,0.35642982971227244,1.7821228641448796,0.06717357370813137
Logistic regression,0.3,40681,3240,0.07964405988053391,0.47563123899001764,1.585433566056964,0.059536058109925155
Logistic regression,0.4,54242,3983,0.0734301832528299,0.5847034644744569,1.4617371021188335,0.053231437641066054
Logistic regression,0.5,67802,4664,0.06878853131176071,0.6846741045214327,1.369338110902626,0.04761697392374931
Histogram gradient boosting,0.05,6781,1405,0.20719657867571153,0.206253669994128,4.124556320928143,0.12206563445088561
Histogram gradient boosting,0.1,13561,2043,0.15065260673991593,0.29991192014092777,2.998964391038288,0.08476674526700603
Histogram gradient boosting,0.2,27121,3089,0.11389698019984514,0.45346447445684085,2.2672889321843215,0.0664113268399705
Histogram gradient boosting,0.3,40681,3890,0.09562203485656695,0.5710510863182618,1.9034989419634538,0.056216147327004376
Histogram gradient boosting,0.4,54242,4564,0.08414144021238155,0.6699941280093952,1.6749606161361679,0.04746457206930289
Histogram gradient boosting,0.5,67802,5177,0.07635467980295567,0.7599823840281855,1.5199535592073101,0.04036011817214408
