Feature,ImportanceMean,ImportanceStandardDeviation
BonusMalus,0.05303292250703251,0.00236195833570944
LogExposure,0.04567105480958723,0.0008252646758029339
VehAge,0.03536555788321073,0.002975091346955069
VehBrand,0.020622226356685192,0.001169644034149649
VehPower,0.014735973255001108,0.0012861115782173656
DrivAge,0.0117772895113533,0.0012701099878531475
VehGas,0.011706400364953694,0.002307407003873591
Region,0.006343319800255492,0.0022807380639526397
LogDensity,0.001847619734714423,0.00040834169304104556
Area,0.0005575283145916709,0.00022918568237334026
