Model,GroupType,GroupValue,Policies,Claims,ObservedClaimRate,MeanPredictedProbability,CalibrationDifference,SelectionRate,Precision,Recall,Specificity,ROCAUC,PRAUC
Histogram gradient boosting,Area,A,20750,927,0.044674698795180726,0.0461156923832703,0.0014409935880895716,0.24708433734939758,0.08640530524673298,0.4778856526429342,0.763708823084296,0.688311296070548,0.12258973271459629
Histogram gradient boosting,Area,B,15171,717,0.04726122206842001,0.04837696749175359,0.0011157454233335778,0.2662975413618087,0.09108910891089109,0.5132496513249651,0.7459526774595268,0.6812226311567172,0.12418947570134427
Histogram gradient boosting,Area,C,38278,1897,0.0495584931292126,0.04861581943491495,-0.0009426736942976521,0.27509274256753224,0.09734093067426401,0.540326831839747,0.7387372529617108,0.704123402187738,0.13633574352860625
Histogram gradient boosting,Area,D,30402,1597,0.052529438852707055,0.05252738407251843,-2.054780188623373e-06,0.3106045654891126,0.1006036217303823,0.5948653725735754,0.7051553549730949,0.7153167983233621,0.15953601417365584
Histogram gradient boosting,Area,E,27379,1466,0.053544687534241575,0.0528728779163783,-0.0006718096178632768,0.32214470944884765,0.1018140589569161,0.6125511596180082,0.6942847219542315,0.7227375878220696,0.1588569286945385
Histogram gradient boosting,Area,F,3623,208,0.05741098537123931,0.05778016108250553,0.0003691757112662189,0.3430858404637041,0.09814963797264682,0.5865384615384616,0.6717423133235725,0.7098540094605249,0.17055882859783741
Histogram gradient boosting,VehGas,'Diesel',66522,3094,0.046510928715312226,0.0473832201713213,0.000872291456009075,0.28259823817684376,0.0883025692856003,0.5365223012281836,0.7297881061991549,0.6974024474518319,0.11974663805161576
Histogram gradient boosting,VehGas,'Regular',69081,3718,0.05382087694156135,0.052888622537462335,-0.0009322544040990186,0.29536341396331844,0.10517545579298176,0.5771920387305003,0.7206676560133409,0.7144011211867761,0.16418409699252126
Histogram gradient boosting,DrivAgeBand,21-24,4624,303,0.06552768166089966,0.06596442558953339,0.0004367439286337288,0.42928200692041524,0.10629722921914357,0.6963696369636964,0.5894468872946077,0.7152275745973117,0.20162854029434266
Histogram gradient boosting,DrivAgeBand,25-29,11743,519,0.044196542621135995,0.04657974017189089,0.0023831975507548966,0.23077578131652898,0.0959409594095941,0.5009633911368016,0.7817177476835353,0.7137183327222014,0.1425314066794017
Histogram gradient boosting,DrivAgeBand,30-39,33742,1412,0.0418469563155711,0.041606677129789646,-0.00024027918578145568,0.17414498251437377,0.11095983662355344,0.46175637393767704,0.8384163315805753,0.7211726801074962,0.1409319006587101
Histogram gradient boosting,DrivAgeBand,40-49,33052,1722,0.05209972165073218,0.05157952040394814,-0.0005202012467840356,0.30476219290814477,0.09411297528045269,0.5505226480836237,0.7087456112352378,0.6971441935590301,0.1457109881470201
Histogram gradient boosting,DrivAgeBand,50-59,28689,1476,0.05144829028547527,0.052043559173994974,0.0005952688885197052,0.3295339677228206,0.08948593188068542,0.573170731707317,0.6836805938338294,0.6912922690484392,0.142527380519327
Histogram gradient boosting,DrivAgeBand,60-69,13550,694,0.051217712177121774,0.05171183902163207,0.0004941268445102925,0.3284870848708487,0.09391148056616491,0.6023054755043228,0.6862943372744243,0.7006150146423519,0.12712653293887663
Histogram gradient boosting,DrivAgeBand,70-79,7326,444,0.06060606060606061,0.05901155478758195,-0.001594505818478656,0.41850941850941853,0.09328114807566862,0.6441441441441441,0.5960476605637895,0.6745508586179902,0.13178691962996503
Histogram gradient boosting,DrivAgeBand,80+,1546,120,0.07761966364812418,0.06821761403600518,-0.009402049612119004,0.47671410090556277,0.12347354138398914,0.7583333333333333,0.5469845722300141,0.6999532491818605,0.19885431442481855
Histogram gradient boosting,DrivAgeBand,Under 21,1331,122,0.09166040570999248,0.08517290407103868,-0.006487501638953799,0.6393688955672426,0.11045828437132785,0.7704918032786885,0.3738626964433416,0.6522393523979986,0.18285581678974994
