IDpol,ClaimNb,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Region,CompleteTotalClaimAmount,AverageClaimSeverity,PredictedSeverity,PredictedClaimAmount,SeverityError,AbsoluteSeverityError,FinancialError,AbsoluteFinancialError
3122016,1,E,7,7,40,63,B11,'Diesel',R82,774411.5,774411.5,2268.021061360913,2268.021061360913,-772143.478938639,772143.478938639,-772143.478938639,772143.478938639
3025890,2,A,7,1,36,50,B12,'Diesel',R21,382955.14,191477.57,2268.021061360913,4536.042122721826,-189209.54893863908,189209.54893863908,-378419.09787727817,378419.09787727817
158309,1,A,6,3,46,50,B1,'Diesel',R24,301635.49,301635.49,2268.021061360913,2268.021061360913,-299367.4689386391,299367.4689386391,-299367.4689386391,299367.4689386391
3150210,1,D,6,4,61,54,B3,'Diesel',R24,281897.49,281897.49,2268.021061360913,2268.021061360913,-279629.4689386391,279629.4689386391,-279629.4689386391,279629.4689386391
1067220,1,C,10,14,83,50,B2,'Regular',R93,205432.05,205432.05,2268.021061360913,2268.021061360913,-203164.02893863907,203164.02893863907,-203164.02893863907,203164.02893863907
3196736,1,A,4,13,33,72,B1,'Regular',R24,186584.15,186584.15,2268.021061360913,2268.021061360913,-184316.12893863907,184316.12893863907,-184316.12893863907,184316.12893863907
53865,1,E,6,1,23,80,B2,'Regular',R11,183073.66,183073.66,2268.021061360913,2268.021061360913,-180805.63893863908,180805.63893863908,-180805.63893863908,180805.63893863908
5068147,1,E,4,6,23,100,B12,'Regular',R11,125847.05,125847.05,2268.021061360913,2268.021061360913,-123579.0289386391,123579.0289386391,-123579.0289386391,123579.0289386391
2101212,1,D,7,7,52,71,B11,'Diesel',R24,92149.0,92149.0,2268.021061360913,2268.021061360913,-89880.97893863909,89880.97893863909,-89880.97893863909,89880.97893863909
3097066,1,E,4,4,47,50,B1,'Regular',R93,78104.83,78104.83,2268.021061360913,2268.021061360913,-75836.8089386391,75836.8089386391,-75836.8089386391,75836.8089386391
4001936,2,C,6,1,48,50,B12,'Regular',R72,74433.86,37216.93,2268.021061360913,4536.042122721826,-34948.908938639084,34948.908938639084,-69897.81787727817,69897.81787727817
2208742,1,C,5,10,57,50,B5,'Diesel',R53,70000.0,70000.0,2268.021061360913,2268.021061360913,-67731.97893863909,67731.97893863909,-67731.97893863909,67731.97893863909
160298,1,A,7,1,52,50,B4,'Diesel',R24,69317.47,69317.47,2268.021061360913,2268.021061360913,-67049.44893863909,67049.44893863909,-67049.44893863909,67049.44893863909
18916,1,B,10,7,49,50,B11,'Regular',R24,66458.9,66458.9,2268.021061360913,2268.021061360913,-64190.87893863908,64190.87893863908,-64190.87893863908,64190.87893863908
1080933,1,D,6,2,32,57,B5,'Diesel',R41,58711.0,58711.0,2268.021061360913,2268.021061360913,-56442.978938639084,56442.978938639084,-56442.978938639084,56442.978938639084
3186271,1,C,12,7,36,75,B10,'Diesel',R91,55152.45,55152.45,2268.021061360913,2268.021061360913,-52884.42893863908,52884.42893863908,-52884.42893863908,52884.42893863908
2122292,1,B,5,3,74,112,B2,'Regular',R24,54551.92,54551.92,2268.021061360913,2268.021061360913,-52283.89893863908,52283.89893863908,-52283.89893863908,52283.89893863908
2139940,1,E,4,11,31,95,B2,'Regular',R26,54400.12,54400.12,2268.021061360913,2268.021061360913,-52132.09893863909,52132.09893863909,-52132.09893863909,52132.09893863909
1163542,1,E,6,10,28,112,B1,'Diesel',R24,51857.75,51857.75,2268.021061360913,2268.021061360913,-49589.728938639084,49589.728938639084,-49589.728938639084,49589.728938639084
5014750,1,D,5,5,54,50,B12,'Regular',R93,50000.0,50000.0,2268.021061360913,2268.021061360913,-47731.978938639084,47731.978938639084,-47731.978938639084,47731.978938639084
5060194,1,D,7,1,53,51,B12,'Diesel',R93,49420.0,49420.0,2268.021061360913,2268.021061360913,-47151.978938639084,47151.978938639084,-47151.978938639084,47151.978938639084
129733,1,B,7,3,59,50,B1,'Regular',R24,45734.7,45734.7,2268.021061360913,2268.021061360913,-43466.67893863908,43466.67893863908,-43466.67893863908,43466.67893863908
1126444,1,E,13,3,50,50,B11,'Regular',R25,43808.54,43808.54,2268.021061360913,2268.021061360913,-41540.518938639085,41540.518938639085,-41540.518938639085,41540.518938639085
2191680,1,B,5,2,72,50,B2,'Diesel',R24,42057.71,42057.71,2268.021061360913,2268.021061360913,-39789.68893863908,39789.68893863908,-39789.68893863908,39789.68893863908
4164838,1,E,7,18,26,100,B1,'Regular',R24,41204.0,41204.0,2268.021061360913,2268.021061360913,-38935.978938639084,38935.978938639084,-38935.978938639084,38935.978938639084
