Model,SegmentType,Segment,Policies,Claims,ObservedClaimAmount,PredictedClaimAmount,ObservedSeverity,PredictedSeverity,ObservedToExpectedRatio,EligibleForComparison
Constant severity baseline,Area,A,617,638,1859538.43,1446997.4371482625,2914.6370376175546,2268.021061360913,1.2851013984273336,True
Constant severity baseline,Area,B,513,537,1263560.33,1217927.3099508102,2352.998752327747,2268.021061360913,1.0374677697727568,True
Constant severity baseline,Area,C,1303,1377,2513648.32,3123065.001493977,1825.4526652142338,2268.021061360913,0.8048658349402106,True
Constant severity baseline,Area,D,1240,1314,2491522.19,2980179.6746282396,1896.135608828006,2268.021061360913,0.8360308645856405,True
Constant severity baseline,Area,E,1168,1257,3206851.49,2850902.4741306673,2551.1945027844076,2268.021061360913,1.1248548552955582,True
Constant severity baseline,Area,F,148,156,195709.12,353811.2855723024,1254.545641025641,2268.021061360913,0.5531454986898835,True
Constant severity baseline,VehGas,'Diesel',2509,2656,6240337.7299999995,6023863.938974584,2349.5247477409634,2268.021061360913,1.0359360359427814,True
Constant severity baseline,VehGas,'Regular',2480,2623,5290492.15,5949019.243949674,2016.96231414411,2268.021061360913,0.8893049312927648,True
Constant severity baseline,VehBrand,B1,1268,1336,2561661.7399999998,3030076.1379781794,1917.411482035928,2268.021061360913,0.8454116739486521,True
Constant severity baseline,VehBrand,B10,154,158,274750.83,358347.32769502426,1738.9293037974685,2268.021061360913,0.7667165589520734,True
Constant severity baseline,VehBrand,B11,141,151,1189861.09,342471.1802654978,7879.874768211921,2268.021061360913,3.4743393271152643,True
Constant severity baseline,VehBrand,B12,755,834,2144670.61,1891529.5651750013,2571.547494004796,2268.021061360913,1.1338287539806857,True
Constant severity baseline,VehBrand,B13,102,107,162632.13,242678.2535656177,1519.926448598131,2268.021061360913,0.6701553501827305,True
Constant severity baseline,VehBrand,B14,19,21,16516.69,47628.44228857917,786.5090476190476,2268.021061360913,0.346782074037314,False
Constant severity baseline,VehBrand,B2,1298,1363,2647418.62,3091312.7066349243,1942.3467498165812,2268.021061360913,0.856405957998947,True
Constant severity baseline,VehBrand,B3,486,512,1092448.58,1161226.7834167874,2133.6886328125,2268.021061360913,0.94077108416806,True
Constant severity baseline,VehBrand,B4,216,224,393460.01,508036.7177448445,1756.5179017857142,2268.021061360913,0.7744716006877493,True
Constant severity baseline,VehBrand,B5,307,318,632073.25,721230.6975127703,1987.6517295597484,2268.021061360913,0.8763815131271618,True
Constant severity baseline,VehBrand,B6,243,255,415336.33,578345.3706470327,1628.7699215686275,2268.021061360913,0.7181458538093529,True
Constant severity baseline,DrivAgeBand,Under 21,132,144,288827.96,326595.03283597145,2005.7497222222223,2268.021061360913,0.8843611536035225,True
Constant severity baseline,DrivAgeBand,21-24,261,286,785025.73,648654.0235492211,2744.8452097902095,2268.021061360913,1.2102379720156484,True
Constant severity baseline,DrivAgeBand,25-29,421,450,787632.56,1020609.4776124108,1750.294577777778,2268.021061360913,0.7717276561477449,True
Constant severity baseline,DrivAgeBand,30-39,1089,1143,2400249.45,2592348.0731355236,2099.9557742782154,2268.021061360913,0.9258978278703236,True
Constant severity baseline,DrivAgeBand,40-49,1249,1309,3305942.54,2968839.569321435,2525.5481588999237,2268.021061360913,1.1135470485377605,True
Constant severity baseline,DrivAgeBand,50-59,1022,1088,2135123.55,2467606.9147606734,1962.4297334558821,2268.021061360913,0.8652608068279302,True
Constant severity baseline,DrivAgeBand,60-69,466,491,955821.97,1113598.3411282082,1946.6842566191444,2268.021061360913,0.8583184211927238,True
