Model,RiskDecile,Policies,Claims,ObservedClaimAmount,PredictedClaimAmount,MinimumPredictedSeverity,MaximumPredictedSeverity,ObservedSeverity,PredictedSeverity,ObservedToExpectedRatio
Constant severity baseline,1,499,529,1004801.66,1199783.141459923,2268.021061360913,2268.021061360913,1899.4360302457467,2268.021061360913,0.8374860633375252
Constant severity baseline,2,499,527,1047300.61,1195247.099337201,2268.021061360913,2268.021061360913,1987.2876850094876,2268.021061360913,0.8762210011475939
Constant severity baseline,3,499,525,1336876.73,1190711.0572144792,2268.021061360913,2268.021061360913,2546.431866666667,2268.021061360913,1.1227549470544578
Constant severity baseline,4,499,541,994899.82,1226999.394196254,2268.021061360913,2268.021061360913,1839.001515711645,2268.021061360913,0.8108396994374306
Constant severity baseline,5,499,524,1873491.99,1188443.0361531184,2268.021061360913,2268.021061360913,3575.366393129771,2268.021061360913,1.576425569427646
Constant severity baseline,6,498,524,755858.46,1188443.0361531184,2268.021061360913,2268.021061360913,1442.4779770992366,2268.021061360913,0.6360073112520772
Constant severity baseline,7,499,530,1030731.16,1202051.1625212838,2268.021061360913,2268.021061360913,1944.7757735849057,2268.021061360913,0.857476946187596
Constant severity baseline,8,499,522,931844.74,1183906.9940303965,2268.021061360913,2268.021061360913,1785.1431800766284,2268.021061360913,0.7870928583905934
Constant severity baseline,9,499,535,1520342.53,1213391.2678280885,2268.021061360913,2268.021061360913,2841.761738317757,2268.021061360913,1.2529697306305323
Constant severity baseline,10,499,522,1034682.18,1183906.9940303965,2268.021061360913,2268.021061360913,1982.1497701149426,2268.021061360913,0.8739556276102504
