Region,policies,complete_loss_exposure,pure_premium
R21,3026,1183.8651156523692,406.5060568448357
R94,4516,1730.6872026349279,268.4381957020799
R82,84752,45014.313515233174,228.33412413413228
R22,7994,3540.403827382289,194.22215756342618
R93,79315,35527.589047832924,193.399692581141
R24,160601,100769.99600868329,189.29049434869816
R11,69791,29789.93632607231,153.16174160488956
R53,42122,27181.90449434838,143.5164798997473
R31,27285,11429.02787558949,143.02963802297012
R25,10893,6546.237481098885,142.04301519533493
